Event Date,Key,Product,Product Family,Year,Month,Order to Batch Creation,Batch Creation to Packaging,Packaging to QA Release,Order Creation to QA Release
7-Jan-15,10086767H6248H12,BONVIVA 3MG/3ML 1ASRG CIS,BONVIVA ,2015,1,48,3,19,70
8-Jan-15,10159236H4523H01,HERCEPTI 150MG 1VILY IV ES,HERCEPTI ,2015,1,15,6,5,26
9-Jan-15,10112467H0546H32,MIRCERA 120MCG/.3ML 1 ASRG DK-NO-IS,MIRCERA ,2015,1,24,1,8,33
9-Jan-15,10137397H0814H01,RECORMON 2000IU/0.3ML 6ASRG FE-KR,RECORMON ,2015,1,66,7,4,77
9-Jan-15,10137398H0563H02,RECORMON 3000IU/0.3ML 6ASRG FE-KR,RECORMON ,2015,1,66,9,7,82
9-Jan-15,10137399H0659H01,RECORMON 4000IU/0.3ML 6ASRG FE-KR,RECORMON ,2015,1,48,12,13,73
9-Jan-15,10137400H0630H05,RECORMON 5000IU/0.3ML 6ASRG FE-KR,RECORMON ,2015,1,63,12,2,77
9-Jan-15,10137402H0633H01,RECORMON 10000IU/0.6ML 6ASRG FE-KR,RECORMON ,2015,1,62,7,5,74
9-Jan-15,10137402H0629H04,RECORMON 10000IU/0.6ML 6ASRG FE-KR,RECORMON ,2015,1,62,7,7,76
12-Jan-15,10065283H1069H05,BONDRONA 6MG/6ML 5VIAL SI,BONDRONA ,2015,1,3,18,3,24
12-Jan-15,10159523B7211H04,AVASTIN 400MG/16ML 1VIAL GR-CY,AVASTIN ,2015,1,21,3,7,31
19-Jan-15,10071609H6247H12,BONVIVA 3MG/3ML 1ASRG HU-SI,BONVIVA ,2015,1,11,5,5,21
19-Jan-15,10071609H6246H18,BONVIVA 3MG/3ML 1ASRG HU-SI,BONVIVA ,2015,1,11,5,7,23
19-Jan-15,10154383H0511H02,MIRCERA 50MCG/0.3ML 1ASRG US,MIRCERA ,2015,1,8,6,3,17
19-Jan-15,10154383H0512H01,MIRCERA 50MCG/0.3ML 1ASRG US,MIRCERA ,2015,1,8,3,6,17
19-Jan-15,10140873H0538H04,NEORECOR 20000IU/0.6ML 6ASRG GB-IE,NEORECOR ,2015,1,10,8,14,32
20-Jan-15,10108988H6245H12,NEORECOR 4000IU/0.3ML 1ASRG FR-CLIN,NEORECOR ,2015,1,0,26,11,3
22-Jan-15,10159521B8500H08,AVASTIN 400MG/16ML 1VIAL FR-CLIN,AVASTIN ,2015,1,0,11,3,4
23-Jan-15,10145659H1085H03,BONDRONA 6MG/6ML 1VIAL PRISA,BONDRONA ,2015,1,3,4,12,19
26-Jan-15,10086767H6248H12,BONVIVA 3MG/3ML 1ASRG CIS,BONVIVA ,2015,1,29,3,19,51
27-Jan-15,10159042B8001H25,AVASTIN 100MG/4ML 1VIAL GR-CY,AVASTIN ,2015,1,0,4,7,6
27-Jan-15,10086767H6253H02,BONVIVA 3MG/3ML 1ASRG CIS,BONVIVA ,2015,1,80,6,13,99
28-Jan-15,10108955H6264H02,NEORECOR 2000IU/.3ML 6 ASRG GB-IE-GRCY,NEORECOR ,2015,1,0,15,5,13
29-Jan-15,10071610H6246H20,BONVIVA 3MG/3ML 1ASRG NL,BONVIVA ,2015,1,21,8,14,43
29-Jan-15,10079911H6257H01,BONVIVA 3MG/3ML 1ASRG AT,BONVIVA ,2015,1,43,10,9,62
29-Jan-15,10071572H6248H10,BONVIVA 3MG/3ML 1ASRG DE,BONVIVA ,2015,1,20,7,13,40
29-Jan-15,10098949H0548H07,MIRCERA 200MCG/.3ML 1 ASRG DE,MIRCERA ,2015,1,20,6,37,63
29-Jan-15,10098964H0550H49,MIRCERA 75MCG/.3ML 1 ASRG DE,MIRCERA ,2015,1,19,6,11,36
29-Jan-15,10098952H0548H06,MIRCERA 30MCG/0.3ML 1ASRG DE,MIRCERA ,2015,1,11,4,12,27
29-Jan-15,10098955H0018H37,MIRCERA 360MCG/0.6ML 1ASRG DE,MIRCERA ,2015,1,25,1,8,34
29-Jan-15,10098943H0547H02,MIRCERA 120MCG/0.3ML 1ASRG DE,MIRCERA ,2015,1,14,6,14,34
29-Jan-15,10098963H0517H29,MIRCERA 50MCG/.3ML 1 ASRG DE,MIRCERA ,2015,1,42,8,27,77
29-Jan-15,10098942H0563H07,MIRCERA 100MCG/.3ML 1 ASRG DE,MIRCERA ,2015,1,14,11,14,39
29-Jan-15,10108930H0676H07,NEORECOR 50000IU 1 VILY AT-DE,NEORECOR ,2015,1,0,6,16,22
29-Jan-15,10108930H0677H02,NEORECOR 50000IU 1 VILY AT-DE,NEORECOR ,2015,1,0,7,25,32
29-Jan-15,10108940H6206H05,NEORECOR 10000IU/.6ML 6 ASRG DEATBENL,NEORECOR ,2015,1,33,16,8,57
29-Jan-15,10108940H6206H05,NEORECOR 10000IU/.6ML 6 ASRG DEATBENL,NEORECOR ,2015,1,33,16,8,57
29-Jan-15,10108951H6269H04,NEORECOR 2000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,60,16,2,78
29-Jan-15,10108951H6269H04,NEORECOR 2000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,60,16,2,78
29-Jan-15,10108951H6269H04,NEORECOR 2000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,60,16,2,78
29-Jan-15,10108951H6268H02,NEORECOR 2000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,14,19,2,35
29-Jan-15,10108991H6248H08,NEORECOR 4000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,56,20,6,82
29-Jan-15,10108991H6250H02,NEORECOR 4000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,56,20,26,102
29-Jan-15,10108983H0624H06,NEORECOR 30000IU/.6ML 4 ASRG DEATBENL,NEORECOR ,2015,1,25,9,14,48
29-Jan-15,10109008H6212H12,NEORECOR 5000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,40,15,2,57
29-Jan-15,10109008H6213H02,NEORECOR 5000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,40,15,2,57
29-Jan-15,10109008H6212H12,NEORECOR 5000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,40,15,2,57
29-Jan-15,10109020H0612H22,NEORECOR 6000IU/.3ML 6 ASRG DEATBENL,NEORECOR ,2015,1,55,19,4,78
29-Jan-15,10159027B8003H15,AVASTIN 100MG/4ML 1VIAL BE,AVASTIN ,2015,1,36,10,7,53
29-Jan-15,10159514B7208H11,AVASTIN 400MG/16ML 1VIAL BE,AVASTIN ,2015,1,28,5,9,42
29-Jan-15,10159228H4538H01,HERCEPTI 150MG 1VILY IV BE,HERCEPTI ,2015,1,0,4,10,14
29-Jan-15,10159031B8003H14,AVASTIN 100MG/4ML 1VIAL DE,AVASTIN ,2015,1,36,10,8,54
29-Jan-15,10159517B8503H08,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN ,2015,1,50,12,9,71
29-Jan-15,10159517B8503H02,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN ,2015,1,42,6,8,56
29-Jan-15,10159517B8502H01,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN ,2015,1,20,5,10,35
29-Jan-15,10159248H4523H05,HERCEPTI 150MG 1VILY IV NL,HERCEPTI ,2015,1,0,4,15,19
29-Jan-15,10159248H4538H02,HERCEPTI 150MG 1VILY IV NL,HERCEPTI ,2015,1,0,4,16,20
29-Jan-15,10159517B8503H08,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN ,2015,1,50,12,9,71
29-Jan-15,10159026B8003H06,AVASTIN 100MG/4ML 1VIAL AT,AVASTIN ,2015,1,25,9,5,39
29-Jan-15,10159513B7208H09,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN ,2015,1,26,7,2,35
29-Jan-15,10159047B8003H10,AVASTIN 100MG/4ML 1VIAL NL,AVASTIN ,2015,1,28,6,5,39
29-Jan-15,10159526B7208H10,AVASTIN 400MG/16ML 1VIAL NL,AVASTIN ,2015,1,26,3,13,42
29-Jan-15,10159248H4524H03,HERCEPTI 150MG 1VILY IV NL,HERCEPTI ,2015,1,8,17,9,34
29-Jan-15,10095626H0563H13,MIRCERA 100MCG/.3ML 1 ASRG BE-NL,MIRCERA ,2015,1,29,4,13,46
29-Jan-15,10095666H0547H17,MIRCERA 250MCG/.3ML 1 ASRG BE-NL,MIRCERA ,2015,1,6,5,16,27
29-Jan-15,10095655H0547H34,MIRCERA 200MCG/.3ML 1 ASRG BE-NL,MIRCERA ,2015,1,6,8,12,26
29-Jan-15,10095575H0018H34,MIRCERA 360MCG/.6ML 1 ASRG BE-NL,MIRCERA ,2015,1,13,2,7,22
29-Jan-15,10142038H0550H11,MIRCERA 150MCG/0.3ML 1ASRG CO,MIRCERA ,2015,1,42,7,12,61
29-Jan-15,10091272H0547H18,MIRCERA 250MCG/0.3ML 1ASRG MX,MIRCERA ,2015,1,6,5,11,22
29-Jan-15,10145658H1072H07,BONDRONA 6MG/6ML 1VIAL CO,BONDRONA ,2015,1,0,#N/A,#N/A,-15
29-Jan-15,10145658H1072H08,BONDRONA 6MG/6ML 1VIAL CO,BONDRONA ,2015,1,0,22,10,11
29-Jan-15,10142061H0639H02,RECORMON 5000IU/0.3ML 6ASRG EC,RECORMON ,2015,1,28,8,18,54
29-Jan-15,10142053H0806H05,RECORMON 2000IU/0.3ML 6ASRG EC,RECORMON ,2015,1,63,18,16,97
29-Jan-15,10108950H6270H04,NEORECOR 2000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,61,20,10,91
29-Jan-15,10108990H6246H06,NEORECOR 4000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,28,12,10,50
29-Jan-15,10108990H6248H03,NEORECOR 4000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,14,12,9,35
29-Jan-15,10159516B8502H09,AVASTIN 400MG/16ML 1VIAL CZ,AVASTIN ,2015,1,28,12,6,46
29-Jan-15,10109019H6212H14,NEORECOR 6000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,55,21,2,78
29-Jan-15,10108970H0566H20,NEORECOR 3000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,41,14,6,61
29-Jan-15,10108950H6270H04,NEORECOR 2000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,61,20,10,91
29-Jan-15,10109006H6213H03,NEORECOR 5000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,55,19,2,76
29-Jan-15,10159538B8503H11,AVASTIN 400MG/16ML 1VIAL SK,AVASTIN ,2015,1,55,7,14,76
29-Jan-15,10071609H6248H11,BONVIVA 3MG/3ML 1ASRG HU-SI,BONVIVA ,2015,1,21,6,13,40
29-Jan-15,10108970H0566H18,NEORECOR 3000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,18,16,6,40
29-Jan-15,10108950H6268H03,NEORECOR 2000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,14,19,8,41
29-Jan-15,10109019H6212H14,NEORECOR 6000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,55,21,2,78
29-Jan-15,10109019H6212H15,NEORECOR 6000IU/.3ML 6 ASRG CZSKHUSI,NEORECOR ,2015,1,89,15,16,120
29-Jan-15,10159524B8502H12,AVASTIN 400MG/16ML 1VIAL HU,AVASTIN ,2015,1,34,7,12,53
29-Jan-15,10159257H4524H06,HERCEPTI 150MG 1VILY IV HR,HERCEPTI ,2015,1,34,15,13,62
29-Jan-15,10159539B8501H18,AVASTIN 400MG/16ML 1VIAL HR,AVASTIN ,2015,1,28,15,11,54
29-Jan-15,10159257H4537H03,HERCEPTI 150MG 1VILY IV HR,HERCEPTI ,2015,1,0,1,10,11
29-Jan-15,10095654H0548H04,MIRCERA 200MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA ,2015,1,14,12,14,40
29-Jan-15,10095595H0550H50,MIRCERA 75MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA ,2015,1,25,4,17,46
29-Jan-15,10095584H0517H27,MIRCERA 50MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA ,2015,1,25,2,20,47
29-Jan-15,10095665H0547H19,MIRCERA 250MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA ,2015,1,20,5,2,27
29-Jan-15,10144940H0547H03,MIRCERA 120MCG/0.3ML 1ASRG HR,MIRCERA ,2015,1,14,7,13,34
29-Jan-15,10068609H0509H10,BONDRONA 2MG/2ML 1VIAL CH,BONDRONA ,2015,1,33,16,8,57
29-Jan-15,10108942H6206H06,NEORECOR 10000IU/.6ML 6 ASRG ES-PT,NEORECOR ,2015,1,40,9,6,55
29-Jan-15,10108953H6269H02,NEORECOR 2000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,39,14,3,56
29-Jan-15,10108993H6250H01,NEORECOR 4000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,56,18,25,99
29-Jan-15,10159520B8502H04,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN ,2015,1,20,5,4,29
29-Jan-15,10109010H6213H05,NEORECOR 5000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,55,19,2,76
29-Jan-15,10159520B8503H07,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN ,2015,1,50,11,7,68
29-Jan-15,10159035B8003H09,AVASTIN 100MG/4ML 1VIAL ES,AVASTIN ,2015,1,28,6,8,42
29-Jan-15,10159186N1023H05,HERCEPTI 150MG 1VILY IV ES,HERCEPTI ,2015,1,20,6,10,36
29-Jan-15,10108972H6218H06,NEORECOR 3000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,70,18,3,91
29-Jan-15,10109022H6212H10,NEORECOR 6000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,21,18,7,46
29-Jan-15,10159520B8503H01,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN ,2015,1,42,4,4,50
29-Jan-15,10108942H6206H06,NEORECOR 10000IU/.6ML 6 ASRG ES-PT,NEORECOR ,2015,1,40,9,6,55
29-Jan-15,10159049B8003H04,AVASTIN 100MG/4ML 1VIAL PT,AVASTIN ,2015,1,12,7,15,34
29-Jan-15,10108953H6269H02,NEORECOR 2000IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,39,14,3,56
29-Jan-15,10108984H0624H04,NEORECOR 30000IU/.6ML 4 ASRG ES-PT,NEORECOR ,2015,1,25,8,15,48
29-Jan-15,10109002H0550H02,NEORECOR 500IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,28,13,5,46
29-Jan-15,10109002H0551H01,NEORECOR 500IU/.3ML 6 ASRG ES-PT,NEORECOR ,2015,1,28,12,3,43
29-Jan-15,10109004H0550H04,NEORECOR 500IU/.3ML 6 ASRG GB-IE-GRCY,NEORECOR ,2015,1,49,27,2,78
29-Jan-15,10108986H0624H05,NEORECOR 30000IU/.6ML 4 ASRG GB-IE-GRCY,NEORECOR ,2015,1,25,9,16,50
29-Jan-15,10108955H6271H01,NEORECOR 2000IU/.3ML 6 ASRG GB-IE-GRCY,NEORECOR ,2015,1,70,18,7,95
29-Jan-15,10159239H4543H02,HERCEPTI 150MG 1VILY IV GB-IE,HERCEPTI ,2015,1,14,15,11,40
29-Jan-15,10159239H4544H01,HERCEPTI 150MG 1VILY IV GB-IE,HERCEPTI ,2015,1,14,15,14,43
29-Jan-15,10140873H0539H01,NEORECOR 20000IU/0.6ML 6ASRG GB-IE,NEORECOR ,2015,1,55,21,5,81
29-Jan-15,10071606H6246H17,BONVIVA 3MG/3ML 1ASRG GB-IE,BONVIVA ,2015,1,0,12,8,13
29-Jan-15,10159522B8502H11,AVASTIN 400MG/16ML 1VIAL GB-IE,AVASTIN ,2015,1,28,15,10,53
29-Jan-15,10159239H4538H03,HERCEPTI 150MG 1VILY IV GB-IE,HERCEPTI ,2015,1,0,4,7,11
29-Jan-15,10159040B8003H05,AVASTIN 100MG/4ML 1VIAL GB-IE,AVASTIN ,2015,1,25,8,7,40
29-Jan-15,10109004H0548H02,NEORECOR 500IU/.3ML 6 ASRG GB-IE-GRCY,NEORECOR ,2015,1,8,17,8,33
29-Jan-15,10159522B8502H11,AVASTIN 400MG/16ML 1VIAL GB-IE,AVASTIN ,2015,1,28,15,10,53
29-Jan-15,10159040B8003H05,AVASTIN 100MG/4ML 1VIAL GB-IE,AVASTIN ,2015,1,25,8,7,40
29-Jan-15,10108955H6264H02,NEORECOR 2000IU/.3ML 6 ASRG GB-IE-GRCY,NEORECOR ,2015,1,0,15,5,12
29-Jan-15,10071607H6248H07,BONVIVA 3MG/3ML 1ASRG GR-CY,BONVIVA ,2015,1,20,6,13,39
29-Jan-15,10159523B7208H07,AVASTIN 400MG/16ML 1VIAL GR-CY,AVASTIN ,2015,1,8,11,13,32
29-Jan-15,10078687H0563H09,MIRCERA 100MCG/0.3ML 1ASRG CH,MIRCERA ,2015,1,25,8,15,48
29-Jan-15,10159521B7055H01,AVASTIN 400MG/16ML 1VIAL FR-CLIN,AVASTIN ,2015,1,28,11,7,46
29-Jan-15,10159521B7058H01,AVASTIN 400MG/16ML 1VIAL FR-CLIN,AVASTIN ,2015,1,50,6,18,74
29-Jan-15,10108954H6270H01,NEORECOR 2000IU/.3ML 6 ASRG FR,NEORECOR ,2015,1,43,25,8,76
29-Jan-15,10108985H0624H07,NEORECOR 30000IU/.6ML 4 ASRG FR,NEORECOR ,2015,1,25,9,14,48
29-Jan-15,10159237H4544H02,HERCEPTI 150MG 1VILY IV FR-CLIN,HERCEPTI ,2015,1,14,15,13,42
29-Jan-15,10108948H6269H07,NEORECOR 2000IU/0.3ML 1ASRG FR-CLIN,NEORECOR ,2015,1,61,23,1,85
29-Jan-15,10159037B8003H12,AVASTIN 100MG/4ML 1VIAL FR-CLIN,AVASTIN ,2015,1,35,11,8,54
